id,state,stop_date,stop_time,location_raw,county_name,county_fips,fine_grained_location,police_department,driver_gender,driver_age_raw,driver_age,driver_race_raw,driver_race,violation_raw,violation,search_conducted,search_type_raw,search_type,contraband_found,stop_outcome,is_arrested,search_basis,officer_id,drugs_related_stop,ethnicity,district
NC-2000-000001,NC,2000-01-01,00:01,,,,Unknown,NC State Highway Patrol,M,35,35.0,B N,Black,Vehicle Equipment Violation,Equipment,TRUE,Search Incident to Arrest,Incident to Arrest,FALSE,Arrest,TRUE,,,,N,
NC-2000-000002,NC,2000-01-01,00:01,,,,Unknown,NC State Highway Patrol,M,20,20.0,W N,White,Other Motor Vehicle Violation,Other,FALSE,,,FALSE,Written Warning,FALSE,,,,N,
NC-2000-000003,NC,2000-01-01,00:01,,,,Unknown,NC State Highway Patrol,F,26,26.0,W N,White,Safe Movement Violation,Safe movement,FALSE,,,FALSE,Written Warning,FALSE,,,,N,
NC-2000-000004,NC,2000-01-01,00:02,,,,Unknown,NC State Highway Patrol,F,48,48.0,W N,White,Speed Limit Violation,Speeding,FALSE,,,FALSE,Citation,FALSE,,,,N,
NC-2000-000005,NC,2000-01-01,00:02,,,,Unknown,NC State Highway Patrol,F,18,18.0,B N,Black,Speed Limit Violation,Speeding,FALSE,,,FALSE,No Action,FALSE,,,,N,
NC-2000-000006,NC,2000-01-01,00:02,,,,Unknown,NC State Highway Patrol,M,25,25.0,W N,White,Impaired Driving,DUI,TRUE,Consent,Consent,FALSE,Citation,FALSE,Observation Suspected Contraband,,,N,
NC-2000-000007,NC,2000-01-01,00:05,,,,Unknown,NC State Highway Patrol,F,30,30.0,B N,Black,Vehicle Equipment Violation,Equipment,FALSE,,,FALSE,Written Warning,FALSE,,,,N,
NC-2000-000008,NC,2000-01-01,00:05,,,,Unknown,NC State Highway Patrol,M,40,40.0,W N,White,Safe Movement Violation,Safe movement,FALSE,,,FALSE,Written Warning,FALSE,,,,N,
NC-2000-000009,NC,2000-01-01,00:05,,,,Unknown,NC State Highway Patrol,M,40,40.0,W N,White,Speed Limit Violation,Speeding,FALSE,,,FALSE,Citation,FALSE,,,,N,
NC-2000-000010,NC,2000-01-01,00:05,,,,Unknown,NC State Highway Patrol,M,25,25.0,B N,Black,Seat Belt Violation,Seat belt,FALSE,,,FALSE,Citation,FALSE,,,,N,
NC-2000-000011,NC,2000-01-01,00:08,,,,Unknown,NC State Highway Patrol,M,28,28.0,W N,White,Investigation,Other,FALSE,,,FALSE,Verbal Warning,FALSE,,,,N,
NC-2000-000012,NC,2000-01-01,00:09,,,,Unknown,NC State Highway Patrol,M,21,21.0,B N,Black,Other Motor Vehicle Violation,Other,FALSE,,,FALSE,Verbal Warning,FALSE,,,,N,
NC-2000-000013,NC,2000-01-01,00:10,,,,Unknown,NC State Highway Patrol,F,22,22.0,W N,White,Vehicle Equipment Violation,Equipment,FALSE,,,FALSE,Citation,FALSE,,,,N,
NC-2000-000014,NC,2000-01-01,00:10,,,,Unknown,NC State Highway Patrol,M,31,31.0,B N,Black,Speed Limit Violation,Speeding,FALSE,,,FALSE,Arrest,TRUE,,,,N,
NC-2000-000015,NC,2000-01-01,00:10,,,,Unknown,NC State Highway Patrol,F,23,23.0,W N,White,Speed Limit Violation,Speeding,FALSE,,,FALSE,Citation,FALSE,,,,N,
NC-2000-000016,NC,2000-01-01,00:10,,,,Unknown,NC State Highway Patrol,M,27,27.0,W N,White,Impaired Driving,DUI,FALSE,,,FALSE,Verbal Warning,FALSE,,,,N,
NC-2000-000017,NC,2000-01-01,00:10,,,,Unknown,NC State Highway Patrol,F,50,50.0,W N,White,Speed Limit Violation,Speeding,FALSE,,,FALSE,Citation,FALSE,,,,N,
NC-2000-000018,NC,2000-01-01,00:12,,,,Unknown,NC State Highway Patrol,F,44,44.0,B N,Black,Other Motor Vehicle Violation,Other,FALSE,,,FALSE,Verbal Warning,FALSE,,,,N,
NC-2000-000019,NC,2000-01-01,00:13,,,,Unknown,NC State Highway Patrol,M,25,25.0,W N,White,Safe Movement Violation,Safe movement,FALSE,,,FALSE,Written Warning,FALSE,,,,N,
NC-2000-000020,NC,2000-01-01,00:14,,,,Unknown,NC State Highway Patrol,F,22,22.0,W N,White,Seat Belt Violation,Seat belt,FALSE,,,FALSE,Citation,FALSE,,,,N,
NC-2000-000021,NC,2000-01-01,00:14,,,,Unknown,NC State Highway Patrol,M,20,20.0,B N,Black,Impaired Driving,DUI,TRUE,Consent,Consent,FALSE,Citation,FALSE,Witness Observation,,,N,
NC-2000-000022,NC,2000-01-01,00:15,,,,Unknown,NC State Highway Patrol,M,17,17.0,W N,White,Speed Limit Violation,Speeding,FALSE,,,FALSE,Written Warning,FALSE,,,,N,
NC-2000-000023,NC,2000-01-01,00:18,,,,Unknown,NC State Highway Patrol,M,19,19.0,W N,White,Traffic Light/Sign Violation,Stop sign/light,FALSE,,,FALSE,Citation,FALSE,,,,N,
NC-2000-000024,NC,2000-01-01,00:18,,,,Unknown,NC State Highway Patrol,M,60,60.0,W N,White,Safe Movement Violation,Safe movement,FALSE,,,FALSE,Written Warning,FALSE,,,,N,
NC-2000-000025,NC,2000-01-01,00:20,,,,Unknown,NC State Highway Patrol,F,33,33.0,W N,White,Impaired Driving,DUI,TRUE,Protective Frisk,Protective Frisk,FALSE,Arrest,TRUE,Suspicious Movement,,,N,
NC-2000-000026,NC,2000-01-01,00:20,,,,Unknown,NC State Highway Patrol,M,20,20.0,W N,White,Impaired Driving,DUI,TRUE,Search Incident to Arrest,Incident to Arrest,FALSE,Arrest,TRUE,Observation Suspected Contraband,,,N,
NC-2000-000027,NC,2000-01-01,00:20,,,,Unknown,NC State Highway Patrol,M,21,21.0,W N,White,Speed Limit Violation,Speeding,FALSE,,,FALSE,Citation,FALSE,,,,N,
NC-2000-000028,NC,2000-01-01,00:23,,,,Unknown,NC State Highway Patrol,M,33,33.0,W N,White,Vehicle Equipment Violation,Equipment,FALSE,,,FALSE,Written Warning,FALSE,,,,N,
NC-2000-000029,NC,2000-01-01,00:25,,,,Unknown,NC State Highway Patrol,F,18,18.0,W N,White,Traffic Light/Sign Violation,Stop sign/light,FALSE,,,FALSE,Written Warning,FALSE,,,,N,
NC-2000-000030,NC,2000-01-01,00:25,,,,Unknown,NC State Highway Patrol,F,45,45.0,W N,White,Speed Limit Violation,Speeding,FALSE,,,FALSE,Citation,FALSE,,,,N,
NC-2000-000031,NC,2000-01-01,00:25,,,,Unknown,NC State Highway Patrol,M,20,20.0,W N,White,Impaired Driving,DUI,TRUE,Search Incident to Arrest,Incident to Arrest,FALSE,Arrest,TRUE,,,,N,
NC-2000-000032,NC,2000-01-01,00:25,,,,Unknown,NC State Highway Patrol,M,37,37.0,W N,White,Vehicle Equipment Violation,Equipment,FALSE,,,FALSE,Written Warning,FALSE,,,,N,
NC-2000-000033,NC,2000-01-01,00:25,,,,Unknown,NC State Highway Patrol,M,49,49.0,B N,Black,Impaired Driving,DUI,FALSE,,,FALSE,Written Warning,FALSE,,,,N,
NC-2000-000034,NC,2000-01-01,00:29,,,,Unknown,NC State Highway Patrol,M,28,28.0,B N,Black,Safe Movement Violation,Safe movement,FALSE,,,FALSE,Written Warning,FALSE,,,,N,
